name,followers_count,following_count,statuses_count,listed_count,date
Chris Williams,11.0,42.0,28.0,0.0,2013/06/24
Don Fitzgerald,32,40,22,1,2009/05/13
JUAN PABLO IBARRA,1.0,1.0,2.0,0.0,2010/01/02
Alberto Carpinterez,1.0,5.0,2.0,0.0,2013/04/17
Salihu Abdulhamid,1.0,2.0,1.0,0.0,2012/03/26
hennaen by wan,3.0,6.0,13.0,0.0,2012/01/29
チョコ汰@愛調蓮,46.0,139.0,823.0,0.0,2013/01/05
.............nugvrjk,13.0,29.0,3.0,0.0,2012/08/21
Ron C,14.0,20.0,70.0,0.0,2012/06/16
Nikki Parkes,32,79,79,0,2009/06/12
@Kika10,9.0,27.0,12.0,0.0,2011/06/12
roseanne thomson,1.0,5.0,2.0,0.0,2011/12/02
etty♥,203.0,88.0,1316.0,0.0,2012/04/21
Tyler Templin,3.0,49.0,6.0,0.0,2013/01/12
Agung Tangdi Bendon,0.0,17.0,2.0,0.0,2013/04/15
sdfghj,0.0,16.0,6.0,0.0,2012/10/19
Jarred Lebo,75.0,150.0,234.0,0.0,2013/01/20
flopy,2.0,7.0,2.0,0.0,2011/05/23
lamouroux corine,0.0,2.0,1.0,0.0,2011/02/17
Mega ☺,42.0,45.0,98.0,0.0,2013/05/02
Musician 1,1212,1841,197,22,2009/04/25
Katherine,5545,3587,44672,176,2008/10/30
ezequias adriano,0.0,7.0,3.0,0.0,2012/08/12
Kassandra Surmon,4,0,3,0,2009/04/11
美玲(*･ω･)ﾉ,0.0,0.0,2.0,0.0,2012/05/30
احمدالماجد,176.0,367.0,443.0,0.0,2012/08/14
Health & Wellness,11.0,8.0,94.0,0.0,2011/10/19
Julian Ruiz,0.0,8.0,4.0,0.0,2013/03/11
MarizaStella,3.0,11.0,4.0,0.0,2013/04/18
Odi Suryadi,0,1,1,0,2009/09/08
J mah,3.0,53.0,1.0,0.0,2010/08/06
hotpain,0.0,0.0,1.0,0.0,2013/01/12
Maxime,42.0,85.0,531.0,0.0,2011/01/05
James King,0.0,0.0,3.0,0.0,2013/02/13
Kamilla Aragão,8.0,119.0,40.0,0.0,2011/10/09
Joaquim alberto,2.0,52.0,3.0,0.0,2013/07/21
eric-plater,0.0,1.0,1.0,0.0,2010/02/06
melisse nazca,0.0,3.0,1.0,0.0,2011/04/26
Chanyraaa Ward,1.0,6.0,2.0,0.0,2012/03/08
PaardenRetweets.,17.0,7.0,20.0,0.0,2012/04/25
Mekayla Reints,80.0,234.0,111.0,0.0,2012/12/01
mario rolando,3.0,60.0,21.0,0.0,2012/01/13
Fernando T.,15.0,37.0,1635.0,0.0,2011/06/04
Charles Adriano,1.0,1.0,1.0,0.0,2011/04/17
filibertodiazvirguez,10.0,53.0,86.0,0.0,2010/01/29
Miguel Angel Diaz,0.0,91.0,4.0,0.0,2013/06/03
38軟,1.0,1.0,1.0,0.0,2010/04/14
mikaa,34.0,151.0,274.0,0.0,2010/03/04
Hessa al shamsi,1.0,12.0,1.0,0.0,2013/08/07
dearJCY,0.0,16.0,3.0,0.0,2011/08/10
HP Band,2.0,39.0,11.0,0.0,2012/01/24
Richard Rowell,7.0,42.0,11.0,0.0,2012/05/09
ilda owens,8.0,6.0,1.0,0.0,2011/08/06
casey,7,24,30,0,2009/07/07
WOW Animal Hospital,50.0,23.0,28.0,1.0,2011/06/01
alberto,1.0,3.0,2.0,0.0,2012/02/10
Thiru Baskaran,2,21,2,0,2009/06/26
Diesel,33.0,57.0,95.0,0.0,2011/04/03
Jords,110.0,253.0,8267.0,0.0,2011/08/16
John,1.0,46.0,1.0,0.0,2013/06/01
Batul  makke,2.0,1.0,1.0,0.0,2013/04/20
jeric james fernando,0.0,7.0,1.0,0.0,2011/09/14
rikkali1,6.0,1.0,1.0,0.0,2012/06/20
Hannah Horner,193.0,187.0,2404.0,0.0,2011/09/18
조한형,0.0,0.0,1.0,0.0,2011/05/07
mirigor,1.0,8.0,3.0,0.0,2013/07/22
David Pack,87.0,336.0,325.0,0.0,2010/04/02
luke,0.0,4.0,3.0,0.0,2013/04/17
hala\khalid\kalifa,6.0,23.0,6.0,0.0,2011/07/05
paolis kim lee,0.0,31.0,1.0,0.0,2012/06/15
singleMommy,4.0,10.0,10.0,0.0,2012/06/05
Alisa Trinks,0.0,1.0,1.0,0.0,2010/08/04
rudolfs zeitmanis,4.0,43.0,5.0,0.0,2012/01/25
Miguel,2.0,3.0,79.0,0.0,2011/11/11
Gianella Palacios A.,5.0,31.0,1.0,0.0,2012/12/08
ابوخليل العيوي,3.0,17.0,4.0,0.0,2013/08/30
Ship 2 Anywhere,4364.0,5351.0,55.0,27.0,2009/12/08
BK Yearbook,1.0,0.0,5.0,1.0,2012/09/13
 Igor Yarmosh.,268.0,1248.0,1350.0,0.0,2012/11/15
dimaz yocky #99.rec,159,343,2076,0,2009/10/21
jamal,1.0,1.0,1.0,0.0,2011/09/28
Manuella Batista .,21.0,62.0,64.0,1.0,2010/12/31
Lincoln Rodrigues,9.0,9.0,2.0,0.0,2010/01/30
RKVlaBra,47.0,2.0,4.0,1.0,2012/01/20
Enrique solano,0.0,1.0,1.0,0.0,2011/09/21
Selvia,15.0,68.0,1098.0,0.0,2013/08/29
Follow kfc cricket,0.0,0.0,2.0,0.0,2012/10/01
Laura Franciscon,197,98,2108,0,2009/07/20
Sofi,6.0,16.0,2.0,0.0,2012/08/21
widyakurnia\(ˆ▽ˆ)/‎,197.0,397.0,364.0,0.0,2013/03/01
denny si gemini,0.0,12.0,1.0,0.0,2013/07/15
Kerri Moffitt,9,12,13,0,2009/03/11
MAYUR SHAILESHBHAI,1.0,0.0,1.0,0.0,2012/07/27
Ashley Harmon,7.0,26.0,1.0,0.0,2009/12/18
salim,4.0,7.0,3.0,0.0,2013/06/03
Affronti Bennent,0.0,1.0,3.0,0.0,2013/06/24
Noemi D M,3.0,32.0,7.0,0.0,2011/08/15
早漏連合会,38.0,159.0,46.0,0.0,2013/05/12
Ginger Marse,3,2,1,0,2009/06/18
mayandjiyannick,2.0,29.0,2.0,0.0,2013/07/12
أبوبكر الرجبان ليبيا,19.0,4.0,3.0,0.0,2013/06/26
Kamonpop,23.0,131.0,13.0,0.0,2011/04/25
Danny,1.0,7.0,1.0,0.0,2012/10/19
lizelle catacutan,0.0,15.0,1.0,0.0,2012/11/21
jj kalinga,5,55,12,0,2009/09/04
Roger Hill,0.0,5.0,57.0,0.0,2010/09/24
زهره النرجس,2.0,2.0,13.0,0.0,2013/04/27
Leighanna Chadwick,170.0,113.0,547.0,0.0,2011/12/03
Messias dalmora,0.0,9.0,4.0,0.0,2011/07/24
.,291.0,561.0,970.0,0.0,2012/10/25
Evelyn Tapia Navarrt,0.0,1.0,1.0,0.0,2012/12/04
Lawal habibulah,2.0,11.0,4.0,0.0,2011/09/04
stefano pierozzi,3.0,10.0,4.0,0.0,2012/07/02
naya fek,4.0,73.0,22.0,0.0,2013/07/30
Veronique,55.0,768.0,124.0,0.0,2012/04/27
Michael Schmidt,17,290,16,0,2009/09/02
Ivy Rice,4.0,44.0,3.0,0.0,2012/04/24
ziarre wallace,3.0,26.0,4.0,0.0,2010/02/04
Jamiu Sulaimon,1.0,17.0,1.0,0.0,2013/08/11
Cendo Inc.,5.0,2.0,8.0,0.0,2010/02/03
angie pinney,1.0,2.0,1.0,0.0,2013/07/01
alejandro mejia,27.0,20.0,3.0,0.0,2010/05/24
pamelalisette,3.0,2.0,5.0,0.0,2011/03/17
Chloe Burton,51.0,226.0,165.0,0.0,2012/02/20
りえ,201.0,5.0,6810.0,11.0,2010/03/27
かおり,1.0,0.0,1.0,0.0,2010/11/04
Franco Bucca,7.0,225.0,5.0,0.0,2013/05/11
Noelia,45.0,16.0,30.0,0.0,2013/03/11
jabirkaruvally,4.0,38.0,7.0,0.0,2013/05/10
sooso,32.0,121.0,1.0,0.0,2013/04/11
teresa bazan,3,19,1,0,2009/05/16
Juan carlos chilapa,0.0,4.0,2.0,0.0,2013/06/12
D33P RYDERZ,15.0,11.0,7.0,0.0,2012/07/20
Frases De La Música,1.0,21.0,50.0,0.0,2012/11/22
vhee dizon,6.0,7.0,1.0,0.0,2013/04/17
mary monin cruz,2.0,34.0,16.0,0.0,2012/06/12
Delia del carmen,2.0,8.0,34.0,0.0,2012/08/15
Andy DeWeese,144.0,256.0,19.0,0.0,2013/01/28
Dawid,2.0,8.0,42.0,0.0,2010/10/16
Ashlee,2.0,24.0,2.0,0.0,2013/04/05
meiko sanjo,4.0,52.0,19.0,0.0,2012/12/14
Deviana Syah,1.0,7.0,2.0,0.0,2013/04/14
YANNUS TROPICALUS,253.0,334.0,1155.0,0.0,2012/05/10
Maysab,9,17,30,0,2009/10/12
Shamsudeen bello dan,2.0,17.0,13.0,0.0,2012/09/22
lgrim,1.0,2.0,6.0,0.0,2013/06/23
faris khoury,43,75,9,0,2009/06/16
Bay Cities Electic,0.0,0.0,1.0,0.0,2013/08/14
cristian david,7.0,239.0,6.0,0.0,2013/08/19
♥Yackelin Rodriguez♥,9.0,44.0,7.0,0.0,2012/01/06
airsmokesig,2.0,64.0,9.0,0.0,2010/08/03
cliffrobles1128,0.0,0.0,1.0,0.0,2011/08/01
ΞЯLДИ SΞΓIДЩДИ,5.0,112.0,10.0,0.0,2012/06/09
dimasasyariputra,46.0,354.0,26.0,0.0,2012/06/27
Andrew McFenty,2.0,13.0,27.0,0.0,2012/07/27
