week,count
2015-01,84
2015-02,72
2015-04,74
2015-05,9
2015-06,76
2015-07,114
2015-08,3
2015-09,8
2015-10,82
2015-11,234
2015-12,10
2015-13,3
2015-14,6
2015-15,6
2015-16,156
2015-17,80
2015-18,81
2015-19,68
2015-20,33
2015-21,311
2015-22,4261
2015-23,4731
2015-24,601
2015-25,145
2015-26,816
2015-27,93
2015-28,123
2015-29,4999
2015-30,34
2015-31,46
2015-32,458
2015-33,347
2015-34,675
2015-35,357
2015-36,193
2015-37,363
2015-38,445
2015-39,209
2015-40,550
2015-41,645
2015-42,213
2015-43,13
2015-44,20
2015-45,273
2015-46,525
2015-47,498
2015-48,690
2015-49,686
2015-50,580
2015-51,316
2015-52,134
2016-00,17
2016-01,217
2016-02,184
2016-03,221
2016-04,456
2016-05,411
2016-06,534
2016-07,408
2016-08,387
2016-09,234
2016-10,207
2016-11,238
2016-12,524
2016-13,223
2016-14,110
2016-15,39
2016-16,184
2016-17,105
2016-18,169
2016-19,249
2016-20,408
2016-21,370
2016-22,258
2016-23,336
2016-24,288
2016-25,285
2016-26,115
2016-27,100
2016-28,55
2016-29,152
2016-30,125
2016-31,206
2016-32,140
2016-33,134
2016-34,173
2016-35,128
2016-36,713
2016-37,3580
2016-38,3070
2016-39,1013
2016-40,4581
2016-41,1342
2016-42,1310
2016-43,1211
2016-44,1088
2016-45,1437
2016-46,1271
2016-47,903
2016-48,1544
2016-49,1868
2016-50,1721
2016-51,1582
2016-52,1680
2017-01,1613
2017-02,1568
2017-03,1505
2017-04,1502
2017-05,1575
2017-06,1553
2017-07,1430
2017-08,1627
2017-09,1576
2017-10,1700
2017-11,1634
2017-12,1619
2017-13,1754
2017-14,1982
2017-15,1925
2017-16,1806
2017-17,1835
2017-18,1501
2017-22,1
2017-23,366
2017-24,765
2017-25,46
2017-26,96
2017-27,523
2017-28,633
2017-29,758
2017-30,1776
2017-31,4022
2017-32,15521
2017-33,29455
2017-34,491
2017-35,341
2017-36,314
2017-37,414
2017-38,370
2017-39,349
2017-40,411
2017-41,349
2017-42,322
2017-43,64
2017-44,30
2017-45,33
2017-46,39
2017-47,26
2017-48,21
2017-49,20
2017-50,11
2017-51,21
2017-52,16
2017-53,3
2018-00,8
2018-01,43
2018-02,18
2018-03,5
2018-04,8
2018-05,8
2018-06,2
2018-10,3
2018-11,6
